 0.00000	 0.00000	 0.00000	 0.00000	 0.00000	 0.00000
 0.00010	 0.00010	 0.00010	 0.00010	 0.00010	 0.00010
 0.00060	 0.00060	 0.00060	 0.00060	 0.00060	 0.00060
 0.00210	 0.00210	 0.00210	 0.00210	 0.00210	 0.00210
 0.00480	 0.00480	 0.00480	 0.00480	 0.00480	 0.00480
 0.00910	 0.00910	 0.00910	 0.00910	 0.00910	 0.00910
 0.01520	 0.01520	 0.01520	 0.01520	 0.01520	 0.01520
 0.02330	 0.02330	 0.02330	 0.02330	 0.02330	 0.02330
 0.03360	 0.03360	 0.03360	 0.03360	 0.03360	 0.03360
 0.04610	 0.04610	 0.04610	 0.04610	 0.04610	 0.04610
 0.06110	 0.06110	 0.06110	 0.06110	 0.06110	 0.06110
 0.07850	 0.07850	 0.07850	 0.07850	 0.07850	 0.07850
 0.09820	 0.09820	 0.09820	 0.09820	 0.09820	 0.09820
 0.12030	 0.12030	 0.12030	 0.12030	 0.12030	 0.12030
 0.14470	 0.14470	 0.14470	 0.14470	 0.14470	 0.14470
 0.17130	 0.17130	 0.17130	 0.17130	 0.17130	 0.17130
 0.19990	 0.19990	 0.19990	 0.19990	 0.19990	 0.19990
 0.23040	 0.23040	 0.23040	 0.23040	 0.23040	 0.23040
 0.26270	 0.26270	 0.26270	 0.26270	 0.26270	 0.26270
 0.29650	 0.29650	 0.29650	 0.29650	 0.29650	 0.29650
 0.33160	 0.33160	 0.33160	 0.33160	 0.33160	 0.33160
 0.36790	 0.36790	 0.36790	 0.36790	 0.36790	 0.36790
 0.40500	 0.40500	 0.40500	 0.40500	 0.40500	 0.40500
 0.44270	 0.44270	 0.44270	 0.44270	 0.44270	 0.44270
 0.48090	 0.48090	 0.48090	 0.48090	 0.48090	 0.48090
 0.51910	 0.51910	 0.51910	 0.51910	 0.51910	 0.51910
 0.55730	 0.55730	 0.55730	 0.55730	 0.55730	 0.55730
 0.59500	 0.59500	 0.59500	 0.59500	 0.59500	 0.59500
 0.63210	 0.63210	 0.63210	 0.63210	 0.63210	 0.63210
 0.66840	 0.66840	 0.66840	 0.66840	 0.66840	 0.66840
 0.70350	 0.70350	 0.70350	 0.70350	 0.70350	 0.70350
 0.73730	 0.73730	 0.73730	 0.73730	 0.73730	 0.73730
 0.76960	 0.76960	 0.76960	 0.76960	 0.76960	 0.76960
 0.80010	 0.80010	 0.80010	 0.80010	 0.80010	 0.80010
 0.82870	 0.82870	 0.82870	 0.82870	 0.82870	 0.82870
 0.85530	 0.85530	 0.85530	 0.85530	 0.85530	 0.85530
 0.87970	 0.87970	 0.87970	 0.87970	 0.87970	 0.87970
 0.90180	 0.90180	 0.90180	 0.90180	 0.90180	 0.90180
 0.92150	 0.92150	 0.92150	 0.92150	 0.92150	 0.92150
 0.93890	 0.93890	 0.93890	 0.93890	 0.93890	 0.93890
 0.95390	 0.95390	 0.95390	 0.95390	 0.95390	 0.95390
 0.96640	 0.96640	 0.96640	 0.96640	 0.96640	 0.96640
 0.97670	 0.97670	 0.97670	 0.97670	 0.97670	 0.97670
 0.98480	 0.98480	 0.98480	 0.98480	 0.98480	 0.98480
 0.99090	 0.99090	 0.99090	 0.99090	 0.99090	 0.99090
 0.99520	 0.99520	 0.99520	 0.99520	 0.99520	 0.99520
 0.99790	 0.99790	 0.99790	 0.99790	 0.99790	 0.99790
 0.99940	 0.99940	 0.99940	 0.99940	 0.99940	 0.99940
 0.99990	 0.99990	 0.99990	 0.99990	 0.99990	 0.99990
 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000
